,min,max,Precision,Recall,Accuracy,f1_score,time
86,31948.0,35280.0,1.0,1.0,1.0,1.0,79.44748319097562
87,32162.0,35494.0,1.0,1.0,1.0,1.0,82.02784734801389
88,32364.0,35695.0,1.0,1.0,1.0,1.0,80.38333827600582
89,32797.0,36130.0,1.0,1.0,1.0,1.0,80.40794710299815
90,33241.0,36570.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,82.09647054900415
91,33352.0,36684.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,88.409075063013
92,33714.0,37047.0,1.0,1.0,1.0,1.0,82.39014194501215
93,34215.0,37548.0,1.0,1.0,1.0,1.0,82.3153298140096
94,34474.0,37804.0,1.0,1.0,1.0,1.0,87.48526800400577
95,34835.0,38167.0,1.0,1.0,1.0,1.0,89.14735176600516
96,35096.0,38429.0,1.0,1.0,1.0,1.0,93.66301299000042
97,35342.0,38674.0,1.0,1.0,1.0,1.0,97.7542214730056
98,35712.0,39043.0,1.0,1.0,1.0,1.0,94.37845654398552
99,36100.0,39431.0,1.0,1.0,1.0,1.0,136.46979994999128
